text,negative_ny,distortion,magnitude,category,quote,userid,time
Holy crap it only been 10 min since i said night and it felt like 30 min wtf is up with tht  1 fly black guy,1,,2,,,5757a0be6a9fba552680eb1106df3673,2011-08-16 4:52:48
"┬ôAll changes, even the most longed for, have their melancholy; for what we leave behind us is a part of ourselves; we must die to one life before we can enter another./ ~ Anatole France""",1,,2,,y,601f343a14622332a92b593a459de56c,2011-03-07 1:55:08
"When you lose a part of yourself, to somebody you know. It takes a lot to let go, every breath that you remember. Pictures fade away, but memory is forever.",1,,2,,,4717ae67c4c469d13ab7d7fa53a4d632,2010-12-03 17:35:00
"/Life is not measured by the number of breaths you take...But rather by the number of moments that take your breath away/"" Happy New Years everyone may 2010 go out with a bang and 2011 come with great rewards !!""",2,,,,,5bc2ca97daf9ac35062d8cf92c4acb18,2010-12-30 15:56:45
So are you guys aware that people actually post romantic ads on craigslist! I thought it was a joke And people put pictures up and shit.,2,,,,,19f41b6facd7a78c3ceef4fec559cda7,2011-01-30 6:32:07
"Danielle has been through a lot this summer and especially over the past week with her dad. I hope you all, her friends on my list, will give her support and make her smile and laugh as much as possible. Also, please help her cope with the not so nice ppl that dont understand. Thanks, all. xoxox",2,,,,,bf45ea766695c09187b2d67d0fe6da3f,2010-09-13 0:54:31
"Was looking for phone and couldn't find it...Thought I put it in the washer machine by accident, which is running. Luckily I found it on my dresser.",2,,,,,98bcd7e7d81d569867b11f4c99f61d78,2011-02-21 23:30:55
"┬ôLove is not a feeling. Love is an action, an activity. . .Genuine love implies commitment and the exercise of wisdom. . . . love as the will to extend oneself for the purpose of nurturing one's own or another's spiritual growth.....true love is an act of will that often transcends ephemeral feelings of love or cathexis, it is correct to say, 'Love is as love does'.┬ö ~ M. Scott Peck",2,,,,,601f343a14622332a92b593a459de56c,2010-12-28 2:42:10
"Interesting thoughts from a comedian I heard around a week ago, maybe. His daughter called him poo-poo head, and in adult speak she just called him.. Figure the rest out yourself, I think it's obvious now. :P",2,,,,,74dbe25adb304907217314e9e1a61037,2010-07-24 16:52:56
"we're driving to the dentsit so i ccan get my tooth pulled. well, half a tooth that never came out pulled.",2,,,,,97f81977a2a65e27bfc41ff2e3f6591e,2010-12-07 13:10:09
"So I just finished watching the Lion King with my family and now I'm coloring in my coloring book with 64 crayons(: Oh yeah, this brings back memories.",2,,,,,1ed800d4d26b7ccf86d3efa1670c0f45,2011-01-10 0:33:47
"it normal dosent bother me when people talk or make refrance to a yaoi relationship but the kanda x allen one was gross! and the fact the named it yullen!?!? <----- they actualy named it, like roy x riza, as royai but that ok but thay named this one and it was creppy!",2,,,,,cd86d1e6d68c3770eaec0db419dceb2f,2010-11-10 3:23:54
"Zac seemed unimpressed by my presee of the young ones but is now laughting like a drain, it was the totalitarian vegitables",2,,,,,2549774d68d7ccbcba069afb45c7e237,2009-10-29 18:34:37
I have opinions of my own - strong opinions - but I don't always agree with them. ~ George W Bush,2,,,,,8da2d8c46591e28d575d5cc983ada549,2009-12-08 20:19:57
"I may be very careful with every thing, but it doesn't mean I'm afraid to sacrifice and lose. I only want to take things seriously with purpose, avoiding selfish reasons and repeated mistakes, to give the best things that I can for others, and of course considering what GOD may feel to all the decisions I make in different situations. My decisions are always selfless -- always for others' concerns!",2,,,,,24101221320ffc7b3f48df5483596458,2011-01-03 15:17:19
"Research for Rett Syndrome was granted the $250,000 funding from Pepsi Refresh for the month of September. This is being matched by another agency. Thank you for all of the votes!",2,,,,,142635bd7f9ed8e4d8c292fa6ccd9aa4,2010-10-01 16:29:02
"Just beat Golden Sun and typed a freaking HUGE password into Golden Sun: The Lost Ages so as not to lose all her stats, Djinn, and what not.",2,,,,,a4a6525085ec9c8c72d5f2fc7eee7f6c,2009-06-15 21:24:41
"Wow, Gotta love Bi-Mart pharmacy when their busy. Especially when they keep telling you 20 more minutes while you are feeling sick. 5 hours later I have HALF the prescriptions and I'm finally home, but have to go back again tomorrow... Grrrr",2,,,,,2af06a0d2c453ef4340280ae57348351,2010-09-22 23:20:00
"Godsaw  you get tired and a cure was not to be. So, he put his arms around you  & whispered /come with me/"". With tearful eyes",1,,2,,,3a22ecf7125d120b6ca783020d86cb40,2010-08-28 18:32:08
Mock the week makes me lawl. GOD im soooooo tired  hmmmmmmmm there r voices in my head and they say... hiyaaaaaaa,1,,2,,,12bca3ae16aabaa2ae2a33d54d0c1516,2010-10-09 23:24:03
Plan B's song Suzanne is a bit scary...in particular the bit with the chainsaw noise and the screaming. Not nice to listen to in a dark room when your trying to get to sleep...especially when you're not expecting it. =//,1,,2,,,5b73fda4dc899e8b97fa3d72f2dd7ae5,2010-08-27 18:57:47
"64: You really are cute. And despite our great differences in perspective, and the wide canyon between our worldviews, I think you're an intelligent and thoughtful human being, intrinsically capable of great things. I like that I sat down next to you at that party and we were near instant-friends.",2,,,,,055638f0a33b2df4031fadb86076861f,2010-12-11 12:38:21
OH NO!!! I completely messed up the due dates! So now I have to do 2 weeks worth of work in 1. Ok...I can do this! *faints*,1,,3,,,eefea8ebe307ecb6ff90e366c99b5191,2010-11-29 5:42:41
no matter where u go there's always one employee who's a slight liability issue - like the elderly hca who decides to write on ur fluid//pain score charts without speaking to u then continues to repeatedly drop the charts before offerin u some burnt toast several times as she forgot ur answer *tut*,2,,,,,059c18ea701ce88479c9e10a25cb8284,2011-03-13 23:27:24
Anyone seen that episode of How I Met You Mother where Barney runs a marathon and then ends up stuck on a train because he cant move his legs? Thats probably gonna be me today...,1,1,2,fortune telling,,d5380466e18422d7b2c2d54d57cbbde2,2011-03-17 0:40:23
"6 meals a day. I don't know how I'm going to fit that into my work schedule, lol. I guess I could take a break every now and then...",2,,,,,da46912e112f9a24f30107aa2bdc202d,2009-09-18 13:39:33
Officially the most awkward day in a long time. Though I can say that Writing class has never been more interesting.,1,,1,,,6262f9ea246e00408561aa9a73c49175,2011-04-05 19:53:22
"i We perceive things with our mind not with our eyes, It doesn't matter what others see but... what do you see?",2,,,,,60bb7f8e09c6afac6ddf111bd09c785b,2009-10-09 7:01:22
"Yes, I believe empty is the right word for it. After all, it's been the right word for quite some time now.",1,,2,,,01530624766b3be63c7709c6581c335d,2011-04-10 12:36:49
Leviathan Says : Im the destroyer so dunt ever call me lame or ill kill you all arghhhhh i jjust cant take it wat is this inside of my head i just cant seem 2 kill it i wanna kill my self,1,1,4,emotional reasoning/negative filter,,d42f4945517c45eb2ba65aad271b0fd9,2010-06-02 14:56:09
"Well, that's awfully depressing. Can't you wait till I'm 21 to have your final shows then? Please? I'm aaaaalmost there.. Kind of. ...Wait, some sites say 21+ and others say All Ages. Uhg. Will someone help me figure out if the shows in early April for 'Sleepytime Gorilla Museum' are doable or not? Pleeeeeaaaaase? I wanna go real bad.. Even if it is a state away...",1,,3,,,6bbc96794b1de1d531ad1168dd4da8a8,2011-02-20 10:01:46
"Waiting for my friends to get back from their camping trip. It's been fun watching their beasties this weekend, but i need a nap! <3 my evil monster babies",2,,,,,276d9dae51d0748f843b3525458ef54e,2010-09-13 16:59:27
It's almost time for me to re-order some checks....I normaly use ChecksUnlimited...But their prices seem to be a little steep...does anyone use anything different? I saw wal-mart offers check printing on their website but i don't know how reliable they are...any feed back would be awesome!,2,,,,,c9853214d41149065908ba50259250b7,2011-05-01 17:26:26
"I'm sick of most of the people @ Sanderson now. Most have the cognitive processes of /Does the Square Peg fit into the Round Hole? No? Well maybe the Square Peg does./""  *sigh* Dumbasses""",1,,3,,,311b0b87ac6fec82011ed6f09f5f626d,2010-09-23 21:32:56
I am so happy today I cannot even put it into words. I hope that all of my friends are as happy,2,,,,,539519d42e181b767985e718dc6c907f,2010-11-19 20:08:37
"For people who are too simillar,  It is easy for mutual attraction,  and for mutual hared   -Summer's Desire Ep 2 pt 1",2,,,,,db7f1b0130b2138e13b7bbca9cc63823,2010-06-08 13:47:51
"First day of being graduated and feelin' the stress already. Gotta Take the Accuplacer tomorrow, Friday I got a mini-graduation thing at my school. Then I gotta talk to my counselor and turn in some letters for my FAFSA, which will hopefully be done by then. And Then after all that i need to start thinking about jobs and stuff.",2,,,,,6d49ec5ec6219e517036db46376e6deb,2010-12-15 5:47:30
"Okay... so via magic I have the 24th, 25th, and 26th off of work.... How the heck did that happen? Guess it gives me time to catch up on the 20 pages of writing I fell behind on, but I'm going to go crazy with that much free time lol.",2,,,,,dbd7fba7e17bf39251d01d88dd758c34,2010-12-20 18:41:39
"is finally getting more tests done tomorrow, and would like for everyone to either cross their fingers or pray to their favorite deity in hopes that it isn't something serious.",2,,,,,88b3def9a32e31d4d880b62a1195dad2,2010-09-24 2:09:55
aahhh... screening and selection interview today to determine if I can continue in the social work program and graduate next spring...,2,,,,,cb02460576e27f95654a9a0ef548fe5b,2011-01-25 12:49:55
"Just got my ACT results back, and they prove I was correct all along:  I am in fact mentally retarded.",1,,3,,,b5cdd94160c1ca8938dee8e4202e6455,2011-05-17 13:08:42
/I have done this thing because it is just! Blood demands blood. We have lived and lost at the whims of our masters for too long. I would not see the passing of a brother for the purpose of sport. I would not see another heart ripped from chest or breath forfeit for no cause. I know not all of you wish this. Yet it is done. Join with us,2,,,,,8a1c6e4eb35abbf1ae252628fca46cdb,2010-12-21 0:58:11
"7: I wish I could draw as well as you. You're like, really really talented~ o: ? And also really nice, and you have very pretty eyes.. :)",2,,,,,eaeabcfe25866f0455d349bae2450d88,2011-04-22 20:09:10
*Oprah giveaway voice*   I got an OFFEEEEEEEEEEEEEEEEEERR!!!!!  And YOU get an offer! And YOU get an offer! And YOU and YOU and YOU get an offer!!! You ALL get to take home an OFFER!   *crowd goes psycho crazy wild*,2,,,,,d5380466e18422d7b2c2d54d57cbbde2,2011-01-20 6:19:37
Good god people. STFU about Friday already. Does anyone have anything else better to do than watch youtube all the time?,2,,,,,6328f0fb3d9e4d1277446663f93482cc,2011-03-18 19:40:02
Kumusta na kaya yung English teacher ko nung 1st year high school. She should probably know that it's partly her fault I ended up studying creative writing in UP.,2,,,,,b2241d4fbe0b754b0e8559c85d5d26a7,2011-08-22 3:24:16
I have now actually finished all my PTTLS (teacher training) coursework. I dont ever want to have write anouther essay or sit anouther goddamn exam ever again.,2,,,,,a00339d3cd4071e4c1fbcccb7beb0f6c,2011-03-10 20:08:48
So I just heard Crag Ownes was let go from Chiodos. I am sad. I think I just might cry. >.<,1,,3,,,17938acf2d8d382eac91a3072bcae8b5,2009-09-25 0:58:15
I believe that everything happens for a reason. People change so that you can learn to let go. Things go wrong so you can appreciate them when they┬Ære right. You believe lies so eventually you trust no one but yourself. And sometimes good things fall apart so better things can fall together ~ Marilyn Monroe,1,1,3,overgeneralizing,1,009d96a823b6f6c085c092fb177491f6,2010-05-25 18:32:54
"They better get a good guy to play Mr. Crocker, not someone who's horridly ugly. I would probably cry myself to sleep because of crushed dreams. xDDDD",2,,,,,2fba0f9dccc84f3516d8b553426af527,2010-07-24 5:12:21
is thinking of standing on the side of the highway exit with a cardboard sign asking for donations to help remodel the kitchen.,2,,,,,d880607faa629375d719a38a9f128010,2009-06-26 16:07:33
I don't know who's crazier{ me frantically looking for my cell phone while talking on it or the ones trying to help me find it while watching me talk on it.lol,2,,,,,5c1c2a3c430434ac36009459f7169aa8,2010-11-24 23:18:17
Everything is a form of art. My favorite is the art of the human mind. Every stroke of the brush is a thought. The personality would be the big picture. Like all art every mind is beautiful. An open mind is my favorite for the colors they paint make me feel inspired! :),2,,,,,2080fe3a58a912159aa859a26fa1834d,2010-06-13 0:34:38
pfft. fuck you la ! iknow you hate me bah. aku lagi banci kau. bangga ~ so don't try to act good to me. fuck off !,1,1,4,mind-reading,,f45983bb2f8cef58cf64073b18c76172,2010-11-16 16:02:50
Got my bonus....you know what that means?!?! Time to get me and my Dads tickets to Spain!!!!!!! Cannot wait to share the experience with him!!!!!,2,,,,,10f7981547a33d36f72a77b261ca9807,2011-05-10 7:33:42
"If I am to speak ten minutes, I need a week for preparation; if fifteen minutes, three days; if half an hour, two days; if an hour, I am ready now.   - Woodrow Wilson",2,,,,,83023d4a6bb892c99befda0560214d1b,2011-02-12 12:57:47
"my tummy hurts, Matthew's at work, and I'm pretty sure if my Wii were a person it'd be wondering why I keep giving it death stares. Can it be the weekend yet? =(",2,,,,,011679a3ae49998801ada93d822b7302,2010-01-04 23:54:38
"Bruising, severe hangover, cuts and a blister from last nights BBQ and Bulldog sessions. Credit to Matt for telling me to stop drinking at some point which literally saved my soul today ;-D",1,,2,,,0ce8d05bd9038636ebb68e722688a108,2010-04-18 15:56:18
"will sort out sending info to Place2be to get identity card done today me thinks, top up the potatoe tubs so as to have home grown spuds, and plant out the carrots, spend the morning looking after a friends daughter today is looking a good day",2,,,,,2549774d68d7ccbcba069afb45c7e237,2010-06-16 7:14:20
"So, I know it's gonna be about 2 weeks from now, but who is for sure going to the Reckless and Relentless tour on the 28th?  I wanna go, be I need someone to go with [:  (preferably a girl, because my Asian parents are Asian.)",2,,,,,855f69267caba188c45901861dd0c639,2011-03-13 5:12:49
"Since I was a child, I'm obsessively like to do many things twice. The first time is the trial, the learning session. Then doing it again the second time as close as possible to perfection... Unfortunately, many things in life happen only once, like youth, marriage, life, and dead.",2,,,,,c27f06a64c74ff8d8593da7861f81ec8,2011-04-21 23:33:51
"Has decided it has reached the time of night were he wants his wolf hat, hot chocolate and bed after a hard day at the feltmaking mines of pontypridd (I made 3 little bags and 5 yes 5 balls)",2,,,,,2549774d68d7ccbcba069afb45c7e237,2009-11-25 21:38:39
Oh just remember the telephones  Well they're workin em both ways  But if I never ever hear them ring  If nothing else I'll think the bells inside  Finally found you someone else and that's okay  Cause I'll remember everything you sang   --Jason Mraz - You and I Both,2,,,,1,b98b995372448f015357638c8eb6add1,2010-08-12 15:53:50
is tired of walking on eggshells while others use my eggs for omelettes and tell me it's ok because they're hungry. How did that sound dirty? Anyways..expectations go both ways.,2,,,,,25c68399f38b70d0466ae022feb4fe6a,2010-05-21 0:47:57
"is desperate for answers to question three in the science assignment. You know, that one on how speed measuring devices have impacted on science?",2,,,,,f8249493f16a1370dd53a36a51ffe010,2009-08-20 11:02:25
I just love how when u ask if sumones doing sumthing they say nuthing than get mad cus they r doing sumthing we ask if u r for a reason ..people annoy me,1,,3,,,5757a0be6a9fba552680eb1106df3673,2011-07-14 16:23:35
"Interesting day. Lol yessie downed an entire 2 liter bottle of Mtn Dew, i got out there before she could explode D: Gave my oratory in debate even though i was shaking sooo bad and was told it was good, but i need to practice the performance. Which I will. Next years topic will be VERY interesting can't wait to debate it!",2,,,,,8c393982479748c5a53acaa7a3717c71,2011-05-13 22:34:55
"One this first day of MY weekend (ha in a manner of speaking), starting right now with disc 1 from season 1...I am watching charmed and will see how many I can get through before having to go back to work Friday.",2,,,,,07da88e13509940f3116716552d6a32c,2010-03-03 23:06:54
"Happy Independence Day, everyone. Let us honor the lives of those who fought to make this country free. I hope you all enjoy yourselves and stay safe. c:",2,,,,,2fba0f9dccc84f3516d8b553426af527,2010-07-04 15:49:16
"bought a new bedspread for me, DH can't steal it! and two new pillows. I couldn't believe it when it said these stupid pillows had a five yr warranty-five years! It's one of the reasons I got these particular ones. The last round of pillow lasted one yr per pillow (not good enough for fifty dollars) so if I can get five years out of sixty dollars I'll be super happy! Well, I'm going to get off to the land of Nod...",2,,,,,850dda1a12b0f1caec1d317b5056e845,2011-01-23 9:27:23
"URGENT: I need a solid-color, floor-length (or just long) prom-type dress by tomorrow. Anyone my size have one I could use for the show?",2,,,,,6446d8555111ee3a45aaf21453bb5bc2,2011-02-03 0:49:06
"Fly like a bird to the Lord, my soul.  I want to soar like an eagle.  Though I may journey far away from home,  I know I'll never be alone.",2,,,,,f68268e212bc1ac0dff21524f6f73b3d,2011-04-10 9:10:26
"Just saw a dirty van where someone had written, 'I wish my wife was as dirty as this van' So I wrote, 'She is...when your at work!' hahaha",2,,,,,9dd7f7334805e00a32bd69354b722aac,2010-10-05 1:32:42
"my lifes a mess. n i know where i went wrong, i started to run. i just stop to take a breath n den f#cked up cuz look bhind me just 2 c im still where i started @",1,2,4,negative filter ,,f88c5c0b0c6e3f0f50d99f35578d7cea,2010-04-07 15:28:50
"Legend of Korra is gonna be 26 episodes now :D and Dante Basco says he has a character, who /has something to do with Zuko/""... his son? Steph Haeg : COMMENT""",2,,,,,5f86969fe97dd82aba8a683fe7ce6460,2011-04-03 0:40:07
"went to the the Aki Con promotion for seven hours and going to the actual convention in November! :D Fun stuff, fun stuff. :)",2,,,,,7959e48a5c9869a5eb172935f082daa4,2010-08-29 1:45:14
Please take a moment to slowly breathe in and out.. Think of all the wonderful people that your life is filled with. Enjoy the breeze. Feel the sun on your face. Laugh til your sides hurt. Smile through your tears. Enjoy your family and friends. Count your blessings... and dont ever take tomorrow for granted. Good night! <3,2,,,,,bf45ea766695c09187b2d67d0fe6da3f,2011-04-18 2:47:21
"A dentist invented the electrical chair. If you're more afraid of the dentist after hearing this, copy and paste it anywhere!!",2,,,,,2a9b90b41e9399bb331fef2582f657c3,2010-08-24 23:16:03
"has Cujo and A Nightmare on Elm Street. the old one. cause it has johnny depp, which makes it automatically way better, and its probably way better just cause its old.",2,,,,,97f81977a2a65e27bfc41ff2e3f6591e,2010-11-04 23:09:48
"Ugh! >.< My site keeps crashing.. I need a better host than Webs. :\ Though most of these little independent hosts require you to have some knowledge of FTP and be amazing at graphics and site design, which I'm not (though I can do HTML), so I'm a bit stuck.. halp? ?",1,,3,,,eaeabcfe25866f0455d349bae2450d88,2011-03-08 21:58:09
"My son's hamster has got loose and found it's way in2 the bottom of the sofa, how do i get the bloody thing out?",2,,,,,37d6319ea6dc2b057c2d3170f03a4c37,2011-05-11 19:20:05
"i don't feel like a college student quite yet. dartmouth is alright, but i'm excited to come home and stay mikes this weekend",2,,,,,4eda3e15c53ef9628fd8c6e7760b5944,2010-08-30 22:45:04
8:30pm and I'm ready for bed on a Friday night. I blame waking up at 6am and running around the house all day playing nurf wars with a 6 and 3 year old.,2,,,,,04a3601e8b319f740167723a58c488e7,2010-02-27 4:33:47
