hash,text,count
-7466279768499305447,"is tired and probably sick but likes to stay positive and think its just allergies(pretty sure thats spelled wrong too). But had an amazing time at a murder mystery party being the main investigator, and was close to getting the right answer but didn't have enough information. He also intends to finish polishing an essay for english that is way longer than any essay really has the right to be.","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
3107294482636820396,"Sitting Here listening To Lady Gaga C:  School Tomorrow For Columbus Public Kiddies,  Didn't Finish My Art Project, I PRAY Mrs.Boggs Doesnt Kill Me,","[0, 0, 0, 6, 0, 0, 0, 0, 0, 0]"
-8636335459030841846,GUNS ARE GUYS ROSES ARE GIRLS SO GUNS N ROSES LOL anyway have a fucking great day fucking bitch sorry 4 my language as im trying 2 tell some bitch out there the person who reads this know it,"[4, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
-5673174021293322092,The third-rate mind is only happy when it is thinking with the majority.  The second-rate mind is only happy when it is thinking with the  minority. The first-rate mind is only happy when it is thinking. ┬ùA. A. Milne,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-3835077874256063964,"...I got more on my mind than I ever told, I got pain that you never felt. I got the scars, I can deal with it on my own. I've got stories that I'll never tell, but maybe it's just as well. Cause you don't know me, you don't wanna know it's real, and I'm not sorry for who I am for what I feel, cause you don't know me...","[4, 4, 4, 4, 4, 0, 0, 0]"
4563049266012182342,? And now I realise//I should've kissed you in LA//But I drove home all alone//As if I had a choice anyway~ ?,"[2, 0, 2, 2, 4, 0, 0, 0]"
-841478165005770520,"Ok, now the AC guy isn't coming cause /they received the wrong part./"" What a bunch of BS. Now we have to wait until Thursday...""","[0, 0, 0, 0, 0]"
-5697108418756131819,"No, it's not a good morning, and it most definitely will not be a good day. Effing Mondays. I hate them!","[0, 4, 0, 0, 0, 0, 0, 0, 0]"
-4179550355113585928,"umm,, i jus really realized how non-intelligent Co-Co Chanel's quotes are.  for example: /In order to be irreplacable you must be different./""  thats jus redundant.""","[0, 0, 0, 0, 0]"
-1297156288417517284,"Here's to the rubble, a brick through every window, a casket buried six feet deep for everybody's hero. Here's to our lives being meaningless, and how beautiful it is because freedom doesn't have a purpose!","[0, 0, 6, 0, 0, 0, 0, 0]"
7958173582421375175,"Nothing others do is because of you. What others say and do is a projection of their own reality, their own dream. When you are immune to the opinions and actions of others, you won┬Æt be the victim of needless suffering. ~ Don Miguel Ruiz, THE FOUR AGREEMENTS","[2, 0, 0, 4, 4]"
8785750699707701419,"watching Roseanne yay and it's the older season, if I'm not mistaken, the first season, my favorite one! :D and I'm putting together a Christmas gift I made for the house, it's a sentimental type of gift","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4770987693016935363,"[I][B] [//] [//][I][B]An oil field hand is missing his family while providing a service that keeps you on the road and with many comforts of the modern age. In the minute it takes you to read this, oil field workers are working hard while sweating out a living for their families. It's /Oil Field Workers' Appreciation Week./"" [//] [//] :bravo:""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-6182398836466353279,I haven't been this scared of myself in a long time..in fact theres only two things i'm truly afraid of but now there's 3. Also two blisters x.x i still have scars from previous ones. Meh party saturday i'm way excited :),"[0, 0, 0, 0, 0]"
2334646856816445151,"A facebook challenge...During this couple of weeks before Easter, I am out to prove that my friends will repost, I hope I am right!!! Easter is not about bunnies, chicks, or chocolate eggs. Let's lift up God's name and make a statement!! When Jesus died on the cross he was thinking of You and Me. If you are not ashamed to call Jesus Christ your savior, copy and repost","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-7413534667000565498,I am so depressed and so angry at my life right now. I just want it ALL to go away. I want to roll up in a corner and fall asleep forever. I am so tired of disappointing everyone and disappointing myself. I am tired of making everyone's life harder... in 2 days I will be 24 and I have accomplished NOTHING. All I want is to make everyone happy... but you can't make EVERYONE happy. Why's life so freakin hard?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-7717675438066376401,"Facebook NEIGHBOR APPRECIATION DAY ! If you appreciate your gaming friends for all their help & moral support they give you, then let them know by posting this on your wall. I truly appreciate my friends ... without them this wouldn't be nearly as much fun. I have GREAT neighbors, Thank you all -- you are the best","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
-3757435939277361571,"Friend who should not be named: I need to keep friends like these, just on the off chance Hell grades on a curve...","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6145821898526433203,"I really do have some amazing people in my life who make everyday better! My lovely Mummy, Brandon, Katie, Heather, Kyla, Catherine, Madeline, Bethany, Daniel, Travis, Charity, Rachel, Sharon <3","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-2832027562856831537,"Do something too much, it becomes a habit.  Use something too much, it becomes an addiction.  Think something too much, and it becomes a reality.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5116723258395214653,"On Sat, July 24th at 4pm theres a benefit for Terrell Maxwell at On Deck. Next to the softball fields on 11th and 12th in Hess. Everyone come out and donate! The benefit is to help cover the cost of funeral expenses... Please pass this on! RIP Terrell - Youll never be forgotten!","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-2652394520124180725,"Eric did it, so I'm doing it, too. OK, here we go... HOW DID WE MEET? Copy and paste this phrase on your profile after you answer for me.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
5621983801926263536,"I went out with a zombie vampire (Dante), Joker (Doug), Fairy Princess (Keili), Jack Sparrow (Andrew), and The Wicked Witch of the East (Schala). What a night got tons of candy to check for razor blades and poison ;) ;) Goodnight my loves <3","[0, 0, 0, 0]"
-278286111879906551,"To all my girls from bootcamp: I'm so proud of you all. We made it! Just remember, never stop or get comfortable where you are. Keep on moving and you will truly live. I love you all because we shared something we'll never forget. Keep on pushing forth and taking down all life throws at you...and if your lucky, we just might meet again. Lmao, it never stops xxx","[0, 0, 0, 0, 0, 0, 0, 4, 0]"
3519139186234796836,"the show 'chopped' is both interesting and maddening. Also, I often really dislike at least one of the chefs on it...","[0, 0, 0, 0, 0, 0]"
7528624734919302843,has realised that his sister is now officially cool now she works for SCEE. (At least in a guy sense),"[0, 0, 0, 0, 0, 0, 0, 0]"
-3875127936990092528,Y is it that something tragic has to happen in order to bring America togather instead of great moments of glory doesnt i just dont get it can someone tell mek?,"[2, 2, 0, 0, 4, 0, 0, 0, 4, 4]"
3459397139324385093,"Come party with Ardale, Daryl, Derrick, Diego,&  Steven! You won't be disappointed!!! Come one! Come All! No  seriously. We'll be personally insulted & offended if we don't  ...see all you guys come ...out! 201 N Citrus Ave Covina  Location: 3 Vino's! Time:7:00 - 10PM Monday,  August 9th","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-402409468995648645,has just watched Grave of the Fireflies and really needs a hug. It's the most depressing movie I've ever seen. =[,"[0, 0, 0, 0, 0]"
7662008310431603857,"Because I get stoopid, I mean outrageous Stay away from me if you're contagious 'Cause I'm the winner, no, I'm not the loser To be an M.C. is what I choose 'a.... Woooo Rockin and studying school day 3","[4, 8, 0, 0, 0, 0, 0]"
908678748137333712,"Everyone, I would like you to bow to me. I have just completed a 4 page essay in 2 hours! BOO YAH!!!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-3400960313258758539,"why does fbook keep on telling me to add ppl i dont even know but somehow share 40+ friends with?? i dont care!! then when i add them, it doesnt even work and it keeps telling me to do it!!! and its always the SAME names!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-3083890181222807675,"got $100 in cash, a $50 ebay gift card, a cute necklace, a charm for my pandora bracelet, ponyo on dvd, $25 to macys, and $10 to barnesandnoble! o, & thanks steph so much 4 the $25 visa gift card!!!","[0, 0, 0, 0, 0]"
-1824187485506636111,"Has been thinking: 1- get them stoned then they wont want to loot anything, they'll be sad they burned down greggs and 2- this solves the problem with there not being enough uni places for all the applicants, because now these t#@t's wont be allowed to go :D","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-6791114425272524865,".We like rodeos and tractor pulls, We ride four-wheelers and shoot guns, We go fishin and huntin, I wouldn't call us tomboys. We're just Country Girls :)","[0, 0, 0, 4, 2, 6, 2, 0]"
-2397856261720395775,"Actually made an EPIC MEAL TIME MAC AND CHEESE dish XD.... turned out alright! O_O CREAM CHEESE, LOX, CAPERS, RED ONION.... so manly, transforms the definition of mac and cheese >:D.","[0, 0, 0]"
6772152291993711433,Thank you ma'dam... You always appreciate me...   I want you to know that I am appreciating you too so much.   Can I have your brain? You're very intelligent! But still very humble.   THANK YOU SO MUCH!  You alwAys make me feel good inside...,"[0, 0, 0, 0, 0, 0, 2, 6, 0]"
-56980602121633907,"/Can you feel my heartbeat/"" :D I haven't heard this song is so long... I freaking LOVE this song so much! :D :D /""listen to my heart.beat./""""","[0, 0]"
-137122748942041410,"Augh! SO much homework today, I think I'm gonna die. Maybe what I should do is organize it all into categories based on level of importance and subject... I know schoolwork is important, but I mean it's not like we don't have a life we would like to live ouside of school. It's like the teachers get together and go, /Hey","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4557384540551687369,I feel like something good is about to happen in the not so distant future. Remember you attract precisely what you think.,"[0, 2, 4, 4, 0, 0, 0, 4, 0, 0]"
-4513227508717503830,"I was told by a friend that satire is the worst genre ever. So, I'm thinking about writing a satire! Ideas? I'm thinking . . . high school politics that eventually end in a bloody revolution, where a doomed romance is akin to a war of the gods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9031319677839923739,"Preparing to beg Dad to go with us so I can go to Barnes and Noble. >.< And I mean BEG!  B- Breaking down into tears if need be...  E- Extreme pleading, on knees if need be...  G- Gnawing at his nerves until he concedes if need be...  As you can tell... I. AM. DESPERATE. AND. AM. GOING. THROUGH. WITHDRAWLS!!!!!!!!!!!!!!!!!!!!!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7795491521824138102,"I am an old man and have known a great many troubles, but most of them never happened - Mark Twain","[1, 3, 3, 0, 2, 0, 4, 0]"
6521351008643507407,"is everybody in a fowl mood now? I am, teachers are, a lot of people are just in a blah mood. wtf is going on? ugh headache.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-2484103222660517623,There is discipline in a soldier,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
2317822977275641218,top 15 tv shows:  1) Family Guy  2)Mad Men  3)Bored to Death  4)Project Runway  5)True Blood  6) Anderson Cooper 360  7)the Osbournes  8) South Park  9)Daria  10)All That  11) Real Time With Bill Maher  12) the O'Reilly Factor(because I like laughing at Billy Boy)  13) Fringe  14)Tim and Eric  15)the Venture Bros,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5463348114943104038,kids can say some crazy shit...we walked to the store and she saw a bird so she went to go chase it and i told her no but by the time i got my sentence out the bird flew away..i thought the bird was hurt by the way it was laying. so i told her sorry thought the bird was hurt. then she says no mommy the bird is not dead..dead means that your dead on the ground,"[2, 0, 0, 4, 0, 0, 2, 0, 0, 4]"
131116466985832600,"Look at your team, then look at mine. LOOK at your team, then look at MINE. 35-3 record, Elite Eight appearance, over 2k wins, 7 national championships, and the best fans in the country. Congrats UK Wildcats on a great season. Bring it, haters!","[0, 0, 0, 0, 0, 0]"
-8938981486345328497,"right I'm off - 5am start tomorrow- going home for long weekend. Everyones stay well or get well, have a great weekend xxx","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8591006429662391849,"Asked Thierry bout his change from a bread roll at school, since he took a pound n its only 15p....he said 'i spent it' ........on wot? .........'on a massage'......lol Wtf! A Massage? Bit young to be paying girls for massages xlolx","[0, 0, 0, 0, 0]"
8563466424922159135,"Soooo... I'm hiding out in the laundry-room bathroom with four dogs and a cat..I've got the internet radio going and I can vaguely hear the tv chattering away about the weather. So far, I hear it's safe, but I'm kind of crowded in here and don't think I want to fight getting the animals in here again if it comes back..","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1765920758372695772,Who's birthday is in 3 days? Mine! And who's more excited about getting their Stratocaster on Saturday than their actual birthday? Me!,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-7686741310970783597,Angry that Everyone is hating on Obama..he is a good president and thats that! We have 2 have another Major debate about that tomorrow! Lunch maybe? Hahaha... Well If u disagree go ahead and comment but be warned...My debates last until u give up! :D Had a great day..but still have HW! X_X,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1354489858324151161,"It amazes me when a young lady open their mouths to sing and their voice is so big. Like Jennette McCurdy (Sam from iCarly) I got chills when I listened to her cover of /So far away/"" by Carole King","[0, 2, 2, 0, 0]"
5580020450756908828,"The Direct TV guy is coming in an hour and a half to kill my family and I. I mean, to set up our direct TV of course! lol","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1848413255872137263,I was just listening to the radio and a song came on... After a while I went 'This guys voice sounds like Matt Bellamy' and a minute later I heard these lyrics in it that I thought I remembered. And it WAS Muse.... I feel smart. {For all you people who do not understand... Matt Bellamy is the singert of Muse.},"[0, 0, 0, 0, 0, 0, 0, 2]"
1552838039665069878,"Please take me by the hand, it's so cold out tonight. I'll put blankets on the bed, I won't turn out the light. Just don't forget to think about me, and I won't forget you.","[0, 4, 4, 8, 4, 0, 0, 2, 0]"
-5548400563004750028,"Gary Numan isn't going to be releasing a new album for a while & neither will Nine Inch Nails. However, Trent Reznor & Gary Numan are going to team up to make music. Awesome.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1986757048805515715,"From Lady Gaga's Bad Romance: /I want your psycho; Your vertigo stick; Want you in my rear window; Baby you┬Ære sick/"" Alfred Hitchcock references ANYONE? :DDDD""","[4, 0, 0]"
1335746180407370533,"Like my status, and I'll write you a letter.  Dear______,You have a cute___. You make me_________. You should  be_________. You & Me should___________. I'd get your name tattooed  on my ______. You are ____________. Love, __________. (: lol.","[0, 0, 0, 0]"
-3903168478605388415,"SHIT i have school tomorrow... SHIT, its tomorrow already... CRAP i have to wake up soon... .... .... Oh, hey i'm a senior... Fuck i need to college crap...","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2561625297479470391,"is happy, gas meter fixed... took literally 2 minutes to do after a 3 day wait :// had a gorgeous shower and is toastie warm :D","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-8416484003281740223,"And meeting with a woman who mercy-killed her son then slagging her off behind her back that she got away with it. She gives Christians a bad name. Bet if her and George Bush were fuck buddies and had an offspring, it'd be the 3rd antichrist that Nostradamus is meant to have predicted.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1433448656150895841,"From the comments on a Lifehacker article about Android phone annoyances: /My biggest problem is that it lets people call me and interrupt my game of Angry Birds. If I'd wanted a phone I wouldn't have bought a small computer./""""","[0, 0, 0, 0, 0]"
-8920386179068032099,"Well done Brazil!!!!!!!  2mmorow all players r going to a sPa... then on holydays to a paradisiacal island with their pockets full of money ... nice company... while fans are sad...doing stupid things...some even cry.  people, think... leave all these bad feelings to them and lets enjoy life xD",[0]
346523016478974097,"I'm sick of dealing with insecure people who can only say mean things & then attempt to hide their intent with, /I'm only joking./"" If you can't say anything nice","[4, 4, 2, 4]"
8206343106361760216,"What would your liqour do? If it could, it would probably drink you too :P  >>happy cinco de mayo people<< A divertirse los k beban","[0, 0, 0, 0, 0, 0]"
2504129679599006691,"And all the things I wish I had not said, Are played on loop til it's madness in my head. Is it too late to remind you how we were? But not our last days of silence, Screaming, blur. Most of what I remember makes me sure, I should have stopped you from walking out the door. You could be happy, I hope you are. You made me happier than I'd been by far.","[8, 2, 4, 2, 4, 8, 0, 0, 0]"
-506230761978152788,"feeling inert as old wood, called a jerk, not feeling much in the way of companionship. Trashed or trashing? Guilty or guilting? Going to sleep.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5528322902099453315,Met up with Vitico and Yeslenny the day wad pretty cool... I've also been listening to Nirvana most of the day and I know who to blame :),"[4, 2, 0, 0]"
-616051016959576106,Cole Haan  Ontario Mills  75% off entire store  High heels with Nike Air insoles built in  $171 shoes = $47  AWESOME!!!,"[0, 0, 0, 0, 0]"
-2249242358218434424,"Ate Tene Delacruz, I listed you as my mother because you're right, they're all b*tches and wh*ores and you're like a mother when you told what I should do and that the CTF and TAFW family is at my back.Thanks :)","[0, 0, 0, 0, 0, 0, 0, 0]"
631726259148381325,trying my best to record sme chinese hw report thing but a certain SMEBODY in the living room keeps laughing off her head causing the whole recording to go HORRENDOUS!!!!!!!! i feel like slapping her...seRiously....i finally managed to save it perfectly b4 laughs eruptted to my mic! SHEESH,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-7831792789281008459,"just made the best salad EVER: grilled veggie chicken, green leafys, sweet onion, purple cabbage, orange pepper, oil & vinegar + dried soynuts, dried cranberries, and a sprinkle of feta cheese mmmm!!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1109494386454062557,"knew in the knews? IVE GOT NEW HAIR. well not neww hair but a new hair style. The wedding was a lot better than i expected, escpecially dance with Emily Halsall.","[0, 0, 0, 0, 0, 0, 0]"
1604315990867163928,"Was going to post some smart arse comment about the Alice but I just don't have it in me. I don't mind the old town really. I could live here again. Got fond memories of the place, 3am at Bow's, closing time at the Todd, getting punched out on my 21st. As long as i don't get stabbed I think I'll enjoy the trip.  Now Katherine.. that's a hole, not looking forward to visiting K-town in a couple of weeks.","[0, 4, 0, 0, 4, 0, 0, 0, 0]"
85999650959728562,I need to make a blog. I know people wouldn't read it but it would help me organize my thoughts when i'm bored.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5814102157246823344,"Now I've heard there was a secert chord,  David played and it pleased the Lord. But you don't really care to  music, do you? Well it gose like this, the fourth, the fifth, the minor  fall, the major lift. The baffled king composing Hallelujah. Hallelujah. Hallelujah. Hallelujah. Hallelujah.","[4, 4, 0, 0, 0, 2, 4, 0]"
1255582439098463373,"...No cell phones, just 20 thousand light, swaying on a Saturday night, alright...Hey there sing me a song, when we were everything. We were more than just a slice of American Pie.","[8, 4, 8, 2, 2, 6, 3, 4, 8]"
-2791329597947224725,"Who knew research could be interesting? I'm actually enjoying this project, even if it is going to take forever to finish.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5316578787223398275,"- You can wake the dreamer out of the the  dream, but it'll be a cold day in hell before you take the dream out of  the dreamer.","[0, 0, 2, 0, 0, 4, 0, 0, 0, 0]"
4641540764652038374,"For everyone learning (or who already knows how) to drive: always, always, always INDICATE when you're making a turn. Or, if you forget, don't then have the gall to honk at the cyclist you run into turning left.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-8725229548414185221,"is officially done with the apartment..while there are boxes here screaming for attention, I'm taking solace in that fact right now :) What a long year it's been..","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
-290067655753658938,I love my daughter... She is such a good girl. Keeping her in the room with us tonight after I had a nervous breakdown lastnight cuz I felt bad sending her to the nursery. I think we'll all sleep better with her closer to mommy.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8664565181424520830,"so I'm only halfway done with my paper, but I'm already starting page 3...I have a feeling that this is going to be about 10 pages long. -_-","[0, 0, 0, 0, 0]"
-7495509622815541462,The haunted house was pretty good. We went to the one at Wattsburg Rd and Norcross. Jess and I were screaming our heads off and the guys were only spooked a couple times. It was a great night with friends and thats what makes it best! <3 =),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-4109188739619157692,Im so tired and depressed. Stephens birthday this coming Wednesday. He would be 25. I miss him so much and I cant help wondering what hed be doing with his life if he were still with us. Its really sad.....,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6827877384314480641,"When I see you smile and know that it is not for me, that is when I will miss you the most.  ~Unknown~","[0, 2, 2, 0, 4, 2, 2, 2]"
-5561030650893646877,is back online and ..85% settled in at the new place. Phwooar. Now to relax. I'll start writing again in the next day or so =o) ^_^,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-9178313064214030664,"Someone on DA saw the photo I have posted of me as Link and thought I was only 18. I find that rather silly, though I suppose I do look rather young in those photos.","[0, 0, 2, 0, 0, 0, 2, 2, 2, 0]"
6696895156459176688,Count down to coastal living is 14 days & counting. We all had physcials today & our prescriptions renewed. The dogs even got their shots & then an doggie ER visit because poor Harley had a reaction. She's now on doggie prednisone.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5761203372989346783,"And then I dip my tongue in and take a taste. It tastes like soap, but it doesn't really taste like soap!","[4, 8, 6, 2, 8, 0, 0, 0]"
-8386348431042905491,thinks Abby should spell Dr.Byers name right. Maybe then she'll like us more. P.S- she can still hear our conversation on the phone. We're going to be destroyed tomorrow.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-45912838379175330,Thanksgiving Dinner-  me: why are the potatoes screaming?!  grandma: maybe cause you RUBBED them the wrong way.  me: one time woman! ONE TIME!,"[0, 2, 2, 0, 0, 0, 0, 0, 0]"
-1194537721898085604,"I had a ton of fun at the track meet, even though i didnt get to do anything. theres always next year.","[2, 0, 0, 0, 0, 0, 0, 0, 0]"
-1728688693478692263,"Why do we have to grow up? There's a reason why children are so happy you know. I'm more in the middle, going back and forth.","[0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
5289844699113309471,"I just spent the entire afternoon looking at college stuff. I don't really feel any more prepared, but I'm strangely pleased with myself...","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5458053106816167427,"is feeling really sick to her stomach, it's that pain in the pit of your stomach when you're guilty or ashamed of something. I don't know what though, am I forgetting to do something?","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
5218763330489619407,"People always say that they're not wrong, others are wrong. Sometimes they just look ahead and don't think of looking back to see what else that can cause this result or.. is there anyway that this result shouldn't happen.","[4, 0, 3, 0, 0, 4, 0, 0, 0]"
-4423506598277788525,"this was the best Snowday ever, spent the whole time stretched out on the couch or bed with my feet up and reading...while 2 feet of snow piled up outside....back to work tomorrow i suppose....","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-4534359674127094015,FROM textsfromlastnight.com (215): a girl walking in front of me just packed her cigarettes 72 times and yes i counted(1-215): how much adderall did you take today?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5589370712140656889,does anyone know what temperature plants photosynthesis best at ? because it would be very useful for my science homework and google won't tell me....  P.S I lost the game,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-4981978504662977485,"There's no better moment in life more than the moment where you come close to me for no reason and pull yourself against me, wrap my arms around you and snuggle with me. Listening to your breath.. the smell of your hair; your skin.. that's heaven on earth.","[0, 0, 0, 0, 0, 0, 0, 4, 2, 0]"
8739325543885158437,"Watching Megafactories: Lego with my little brother because I'm awesome.  He pulled out all his Lego Star Wars and Indiana Jones figures so they can /know where they came from./""  I like the way he thinks.""","[0, 0, 0, 0, 0]"
5255535120862632903,"I had a wonderful day! Baking, Black Books and snow with Olly, then at my tap lesson I learnt a whole dance in 20 minutes! And I still remember it! I also got asked to sing at the demonstration concert for a singing competition I did. :D :D :D :D :D :D :D","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-3975690639228197420,"A pharmacy was robbed yesterday, but all that was stolen was a large bottle of Viagra - now the police are looking for the hardened criminals! hahahaaha","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3585452203768483989,"Should be laying down sleeping or at the very least writing something amazing, but apparently I don't want to?? Dang me and my terrible ability to fall asleep!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-8616160089721726915,akward isn't it that i care too much about you and just now I confessed to you. I'm glad that i have told you. I think it is time to take my steps.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5533878956213002803,is trying to complete harry potter series in record time while having to go through her clothing :( ( getting rid of things that dont fit.) it's not working out to well.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-4326362764568428380,before people wanna talk crap about me let's get one thing straight I did not put him in jail he put himself there....... No man should ever put his hands on a woman ... No matter who they are!!! iF ANYONE HAS SOMETHING TO SAY ABOUT ME TELL ME DON'T TALK CRAP BEHIND MY BACK!!!,"[4, 4, 2, 4, 2, 2, 2, 0, 0]"
4941152551462270015,The Hey Meter!!!!!!!!  1. hey - friends  2.heyy - I think i like you  3.heyyy - take the hint dumbass  4.heyyyy - lets have sex  5.hyyyyyyy- im drunk,"[0, 0]"
8299360019179216363,my baby is the best. caint no one beat him. he is as perfect as i could want any man to be. i love you tyler!?,"[4, 4, 0, 0, 4, 0, 0, 0]"
3048679826562008356,Sometimes life is not wot you hoped it would be but learn one thing.....your life is urs so choose right cos you dont get a second 1 xxxxx,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-459919811694409116,this chat is being stupid i tried talking to someone and it didnt tell me she responded until after she logged off,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
