,hash,text,count,cosineSim,label
48,-1.98E+18,"So I just finished watching the Lion King with my family and now I'm coloring in my coloring book with 64 crayons(: Oh yeah, this brings back memories.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.886680229,0
49,-5.87E+18,"it normal dosent bother me when people talk or make refrance to a yaoi relationship but the kanda x allen one was gross! and the fact the named it yullen!?!? <----- they actualy named it, like roy x riza, as royai but that ok but thay named this one and it was creppy!","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0.865231916,0
50,3.97E+18,"Zac seemed unimpressed by my presee of the young ones but is now laughting like a drain, it was the totalitarian vegitables","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.886692772,0
51,7.78E+18,I have opinions of my own - strong opinions - but I don't always agree with them. ~ George W Bush,"[4, 2, 3, 1, 2, 1, 3, 4, 7, 0]",0.925597201,1
52,-2.81E+18,"I may be very careful with every thing, but it doesn't mean I'm afraid to sacrifice and lose. I only want to take things seriously with purpose, avoiding selfish reasons and repeated mistakes, to give the best things that I can for others, and of course considering what GOD may feel to all the decisions I make in different situations. My decisions are always selfless -- always for others' concerns!","[1, 1, 1, 1, 7, 1, 1, 1, 1, 1]",0.926731879,0
53,-7.83E+18,"Research for Rett Syndrome was granted the $250,000 funding from Pepsi Refresh for the month of September. This is being matched by another agency. Thank you for all of the votes!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.896623677,0
54,-2.06E+18,"Just beat Golden Sun and typed a freaking HUGE password into Golden Sun: The Lost Ages so as not to lose all her stats, Djinn, and what not.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",0.878876709,0
55,6.96E+18,"Wow, Gotta love Bi-Mart pharmacy when their busy. Especially when they keep telling you 20 more minutes while you are feeling sick. 5 hours later I have HALF the prescriptions and I'm finally home, but have to go back again tomorrow... Grrrr","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.875397951,0
56,3.20E+18,"Godsaw  you get tired and a cure was not to be. So, he put his arms around you  & whispered /come with me/"". With tearful eyes","[4, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.971467765,1
57,-7.84E+18,Mock the week makes me lawl. GOD im soooooo tired  hmmmmmmmm there r voices in my head and they say... hiyaaaaaaa,"[5, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.849611258,0
58,-6.51E+18,Plan B's song Suzanne is a bit scary...in particular the bit with the chainsaw noise and the screaming. Not nice to listen to in a dark room when your trying to get to sleep...especially when you're not expecting it. =//,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",0.891907342,0
59,-9.01E+17,"64: You really are cute. And despite our great differences in perspective, and the wide canyon between our worldviews, I think you're an intelligent and thoughtful human being, intrinsically capable of great things. I like that I sat down next to you at that party and we were near instant-friends.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.890908305,0
60,6.35E+18,OH NO!!! I completely messed up the due dates! So now I have to do 2 weeks worth of work in 1. Ok...I can do this! *faints*,"[3, 1, 1, 3, 1, 1, 1, 1, 1, 0]",0.904092077,0
61,4.40E+18,no matter where u go there's always one employee who's a slight liability issue - like the elderly hca who decides to write on ur fluid//pain score charts without speaking to u then continues to repeatedly drop the charts before offerin u some burnt toast several times as she forgot ur answer *tut*,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.926950167,0
62,-1.51E+18,Anyone seen that episode of How I Met You Mother where Barney runs a marathon and then ends up stuck on a train because he cant move his legs? Thats probably gonna be me today...,"[1, 1, 1, 1, 1, 7, 1, 1, 3, 1]",0.88586902,0
63,-4.15E+18,"6 meals a day. I don't know how I'm going to fit that into my work schedule, lol. I guess I could take a break every now and then...","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.871476834,0
64,3.68E+18,Officially the most awkward day in a long time. Though I can say that Writing class has never been more interesting.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.82796807,0
65,7.65E+18,"i We perceive things with our mind not with our eyes, It doesn't matter what others see but... what do you see?","[1, 7, 1, 1, 1, 1, 1, 1, 1, 1]",0.763887762,0
66,1.83E+18,"Yes, I believe empty is the right word for it. After all, it's been the right word for quite some time now.","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0.873523866,0
67,6.62E+18,Leviathan Says : Im the destroyer so dunt ever call me lame or ill kill you all arghhhhh i jjust cant take it wat is this inside of my head i just cant seem 2 kill it i wanna kill my self,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.871258577,0
68,-2.29E+18,"Well, that's awfully depressing. Can't you wait till I'm 21 to have your final shows then? Please? I'm aaaaalmost there.. Kind of. ...Wait, some sites say 21+ and others say All Ages. Uhg. Will someone help me figure out if the shows in early April for 'Sleepytime Gorilla Museum' are doable or not? Pleeeeeaaaaase? I wanna go real bad.. Even if it is a state away...","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.91495975,0
69,6.50E+18,"Waiting for my friends to get back from their camping trip. It's been fun watching their beasties this weekend, but i need a nap! <3 my evil monster babies","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.854809953,0
70,-4.13E+17,It's almost time for me to re-order some checks....I normaly use ChecksUnlimited...But their prices seem to be a little steep...does anyone use anything different? I saw wal-mart offers check printing on their website but i don't know how reliable they are...any feed back would be awesome!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.925953042,0
71,4.23E+18,"I'm sick of most of the people @ Sanderson now. Most have the cognitive processes of /Does the Square Peg fit into the Round Hole? No? Well maybe the Square Peg does./""  *sigh* Dumbasses""","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.872169536,0
72,-8.39E+18,I am so happy today I cannot even put it into words. I hope that all of my friends are as happy,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.863575875,0
73,-7.92E+18,"For people who are too simillar,  It is easy for mutual attraction,  and for mutual hared   -Summer's Desire Ep 2 pt 1","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.868985773,0
74,2.57E+18,"First day of being graduated and feelin' the stress already. Gotta Take the Accuplacer tomorrow, Friday I got a mini-graduation thing at my school. Then I gotta talk to my counselor and turn in some letters for my FAFSA, which will hopefully be done by then. And Then after all that i need to start thinking about jobs and stuff.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.944770829,0
75,6.88E+18,"Okay... so via magic I have the 24th, 25th, and 26th off of work.... How the heck did that happen? Guess it gives me time to catch up on the 20 pages of writing I fell behind on, but I'm going to go crazy with that much free time lol.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.919306399,0
76,-2.71E+18,"is finally getting more tests done tomorrow, and would like for everyone to either cross their fingers or pray to their favorite deity in hopes that it isn't something serious.","[7, 1, 1, 1, 1, 7, 3, 5, 1, 1]",0.862924179,0
77,6.78E+18,aahhh... screening and selection interview today to determine if I can continue in the social work program and graduate next spring...,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.887650986,0
78,8.81E+18,"Just got my ACT results back, and they prove I was correct all along:  I am in fact mentally retarded.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.786486859,0
79,2.64E+18,/I have done this thing because it is just! Blood demands blood. We have lived and lost at the whims of our masters for too long. I would not see the passing of a brother for the purpose of sport. I would not see another heart ripped from chest or breath forfeit for no cause. I know not all of you wish this. Yet it is done. Join with us,"[4, 5, 3, 3, 1, 1, 1, 5, 1, 0]",0.984138988,1
80,8.71E+18,"7: I wish I could draw as well as you. You're like, really really talented~ o: ? And also really nice, and you have very pretty eyes.. :)","[1, 1, 1, 1, 1, 5, 1, 1, 1, 0]",0.761959187,0
81,-3.39E+18,*Oprah giveaway voice*   I got an OFFEEEEEEEEEEEEEEEEEERR!!!!!  And YOU get an offer! And YOU get an offer! And YOU and YOU and YOU get an offer!!! You ALL get to take home an OFFER!   *crowd goes psycho crazy wild*,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.765458818,0
82,-5.45E+18,Good god people. STFU about Friday already. Does anyone have anything else better to do than watch youtube all the time?,"[1, 1, 2, 1, 3, 1, 1, 1, 1, 0]",0.861380508,0
83,-1.01E+18,Kumusta na kaya yung English teacher ko nung 1st year high school. She should probably know that it's partly her fault I ended up studying creative writing in UP.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.879398725,0
84,-8.04E+18,I have now actually finished all my PTTLS (teacher training) coursework. I dont ever want to have write anouther essay or sit anouther goddamn exam ever again.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.837941761,0
85,5.23E+18,So I just heard Crag Ownes was let go from Chiodos. I am sad. I think I just might cry. >.<,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.795431602,0
86,-6.37E+18,I believe that everything happens for a reason. People change so that you can learn to let go. Things go wrong so you can appreciate them when theyÌ¢‰ÛåÂÌÄ‰ÛÊre right. You believe lies so eventually you trust no one but yourself. And sometimes good things fall apart so better things can fall together ~ Marilyn Monroe,"[1, 1, 1, 3, 1, 7, 1, 1, 0, 0]",0.941683136,1
87,-7.19E+18,"They better get a good guy to play Mr. Crocker, not someone who's horridly ugly. I would probably cry myself to sleep because of crushed dreams. xDDDD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.860813175,0
88,3.28E+18,is thinking of standing on the side of the highway exit with a cardboard sign asking for donations to help remodel the kitchen.,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.777066824,0
89,-8.11E+18,I don't know who's crazier{ me frantically looking for my cell phone while talking on it or the ones trying to help me find it while watching me talk on it.lol,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.896330691,0
90,6.26E+18,Everything is a form of art. My favorite is the art of the human mind. Every stroke of the brush is a thought. The personality would be the big picture. Like all art every mind is beautiful. An open mind is my favorite for the colors they paint make me feel inspired! :),"[3, 5, 1, 1, 1, 1, 1, 1, 1, 1]",0.92379997,1
91,4.44E+18,pfft. fuck you la ! iknow you hate me bah. aku lagi banci kau. bangga ~ so don't try to act good to me. fuck off !,"[5, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.789887189,0
92,-6.69E+18,Got my bonus....you know what that means?!?! Time to get me and my Dads tickets to Spain!!!!!!! Cannot wait to share the experience with him!!!!!,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1]",0.821280455,0
93,-7.32E+18,"If I am to speak ten minutes, I need a week for preparation; if fifteen minutes, three days; if half an hour, two days; if an hour, I am ready now.   - Woodrow Wilson","[2, 4, 4, 3, 2, 2, 1, 5, 1, 1]",0.987649734,1
94,4.82E+17,"my tummy hurts, Matthew's at work, and I'm pretty sure if my Wii were a person it'd be wondering why I keep giving it death stares. Can it be the weekend yet? =(","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.928601476,0
95,6.38E+18,"Bruising, severe hangover, cuts and a blister from last nights BBQ and Bulldog sessions. Credit to Matt for telling me to stop drinking at some point which literally saved my soul today ;-D","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.895156412,0
96,-6.41E+18,"will sort out sending info to Place2be to get identity card done today me thinks, top up the potatoe tubs so as to have home grown spuds, and plant out the carrots, spend the morning looking after a friends daughter today is looking a good day","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.905491014,0
97,1.58E+18,Grr. Why can't people just tell you how they feel? It wuld make a few things in the world a lot easier.,"[3, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.812841129,0
98,8.79E+18,"Fall to your knees, is what you told me. How can I believe? When you live a lie to my face, it's nothing new to me..","[9, 5, 3, 3, 9, 3, 1, 5, 0, 0]",0.952605093,1
99,7.42E+18,1 vodka : ) 2 vodka : ) 3 vodka : ) DOOR! 5 vodka : ) 6 vodka : ) 7 vodka : ) FLOOR! : ),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.76595563,0
100,3.82E+18,"Emmelyne Kim, I reserved a place at Victoria and Albert's! Fri July 1, 5:30pm :D I gave them your full name X)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.805929297,0
101,-5.55E+18,How sad. I ran from my room to the bathroom and I'm already tired... I need a exercise buddy... WHO'S ACTUALLY SERIOUS ABOUT IT UNLIKE SOMEONE. ... You know who you are... *Glares*,"[1, 1, 1, 1, 1, 1, 3, 1, 1, 1]",0.907932148,0
102,-3.43E+18,"Hey. So. Thank you for all the birthday wishes. :) And my locker number is C-5280. If you would like AN APPETIZING AND ABSOLUTELY ADORABLE CUPCAKE, you should stop by before school between 7:15 and the second warning bell. Okay? Okay. Goodnight. :)","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0.912198585,0
103,6.84E+18,"hey today was chinese new year.../Happy New Year to my Chinese friends. And happy nothing to most people I know.Ì¢‰ÛåÂÌÄå¦ Homer Simpson""","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.866758418,0
104,4.77E+18,I feel like I should have mentioned Heidi Montag in my essay which had a part about society being obsessed with bodily perfection.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.908812348,0
105,3.45E+17,has had a pretty good day today ... especially in French were she had half a bag of dolly mix ... tasty,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.852766698,0
106,1.94E+18,is at Megan's party with Parmooney. And clyde (who rhea thinks is gay). And Rhea. And a whole ton of people.,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.860234498,0
107,3.58E+18,"Going to church doesn't make you a holy person any more than going to a garage makes you a mechanic.   A disposition towards inquiry deprived the feline of its vital state, Otherwise known as - Curiosity killed the cat   A lie well stuck to is as good as the truth.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.936194893,1
108,-5.58E+18,Waiting for mi ramen noodle in a cup to cook... who says you need boiling water? all i need is a sink :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.882432705,0
109,5.24E+18,can't believe that darling DAFFY DUCKY is on MSN at the same time as her so she's making the most of the time. MISS YOU DUCK!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.850092949,0
110,-8.17E+18,Why is it that no matter HOW my life is actually GOING I'm almost always depressed for a reason I can't seem to put my finger on. Or maybe I'm just confusing boredom with depression... I MAY do that because I find when I'm depressed I tend to be bored. Can't think of anything to do! And I be unhappy.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.95555677,0
111,-1.06E+17,"a friend invited me to watch scott pilgrim today, this will be the second in a week but i dont mind at all, that movie was AMAZING!!!","[5, 1, 3, 1, 1, 1, 1, 1, 1, 0]",0.894822054,0
112,-7.47E+18,"is tired and probably sick but likes to stay positive and think its just allergies(pretty sure thats spelled wrong too). But had an amazing time at a murder mystery party being the main investigator, and was close to getting the right answer but didn't have enough information. He also intends to finish polishing an essay for english that is way longer than any essay really has the right to be.","[1, 1, 1, 1, 3, 1, 1, 1, 1, 1]",0.894054125,0
113,3.11E+18,"Sitting Here listening To Lady Gaga C:  School Tomorrow For Columbus Public Kiddies,  Didn't Finish My Art Project, I PRAY Mrs.Boggs Doesnt Kill Me,","[1, 1, 1, 7, 1, 1, 1, 1, 1, 1]",0.869018614,0
114,-8.64E+18,GUNS ARE GUYS ROSES ARE GIRLS SO GUNS N ROSES LOL anyway have a fucking great day fucking bitch sorry 4 my language as im trying 2 tell some bitch out there the person who reads this know it,"[5, 1, 3, 3, 1, 1, 1, 1, 1, 1]",0.903061271,0
115,-5.67E+18,The third-rate mind is only happy when it is thinking with the majority.  The second-rate mind is only happy when it is thinking with the  minority. The first-rate mind is only happy when it is thinking. Ì¢‰ÛåÂÌÄå_A. A. Milne,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.844371774,0
116,-3.84E+18,"...I got more on my mind than I ever told, I got pain that you never felt. I got the scars, I can deal with it on my own. I've got stories that I'll never tell, but maybe it's just as well. Cause you don't know me, you don't wanna know it's real, and I'm not sorry for who I am for what I feel, cause you don't know me...","[5, 5, 5, 5, 5, 1, 1, 1, 0, 0]",0.912408319,0
117,4.56E+18,? And now I realise//I should've kissed you in LA//But I drove home all alone//As if I had a choice anyway~ ?,"[3, 1, 3, 3, 5, 1, 1, 1, 0, 0]",0.886266547,1
118,-8.41E+17,"Ok, now the AC guy isn't coming cause /they received the wrong part./"" What a bunch of BS. Now we have to wait until Thursday...""","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.883863094,0
